scenario,count,trial,detected
main,3,1,0
main,3,2,0
main,3,3,0
main,3,4,0
main,3,5,0
main,5,1,1
main,5,2,0
main,5,3,0
main,5,4,0
main,5,5,0
main,10,1,0
main,10,2,0
main,10,3,0
main,10,4,0
main,10,5,1
main,20,1,0
main,20,2,0
main,20,3,0
main,20,4,0
main,20,5,0
regression_quadratic-dedup,3,1,1
regression_quadratic-dedup,3,2,1
regression_quadratic-dedup,3,3,1
regression_quadratic-dedup,3,4,1
regression_quadratic-dedup,3,5,1
regression_quadratic-dedup,5,1,1
regression_quadratic-dedup,5,2,1
regression_quadratic-dedup,5,3,1
regression_quadratic-dedup,5,4,1
regression_quadratic-dedup,5,5,1
regression_quadratic-dedup,10,1,1
regression_quadratic-dedup,10,2,1
regression_quadratic-dedup,10,3,1
regression_quadratic-dedup,10,4,1
regression_quadratic-dedup,10,5,1
regression_quadratic-dedup,20,1,1
regression_quadratic-dedup,20,2,1
regression_quadratic-dedup,20,3,1
regression_quadratic-dedup,20,4,1
regression_quadratic-dedup,20,5,1
